`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
1,No,5/1/21,0cdf683def,cb28908c73,da9107,58,5000,774593,10,fce3dacd86,N,331f,b78361,7e495a,af74b50050,f7b0,0,1,edce,,,5118898,d4cd,82a624,5743,400000,N,0,0,b68b,0,46,Single,Graduate,INDIA,a9,a9,aa,,,Graduate,N,HINDI,480000,N,Student,Yearly
2,No,18/1/21,b3046e82a9,66bf1f40b5,d52781,58,60000,731959,12,9dbefe433d,N,331f,b78361,7e495a,5178c41730,f7b0,0,0,a48c,c4e8,Series 2,5017644,d4cd,f37ec0,c4e8,600000,N,0,0,efc5,0,1b,Married,PG / Professional,INDIA,a9,a9,9c,ASSISTANT TEACHER,,Post Graduate,N,HINDI,720000,Y,Service,Yearly
3,No,5/1/21,2e222a8dbb,4a9eeb17fb,b94056,2483,50000,729258,12,801c4da7d8,N,331f,b78361,7e495a,29f7c22e2f,f7b0,0,1,edce,c4e8,Series 2,93265778,d4cd,8bef14,c4e8,500000,N,0,0,efc5,0,fc,Married,,INDIA,a9,a9,aa,SALES OF VEGETABLE,,12th Pass/HSC,N,HINDI,264000,N,Business,Yearly
4,No,4/1/21,5433cb807b,01dbb73e56,ab9b8a,58,50000,273572,12,4678ac7614,N,e62e,f114ce,0a25fc,fce0b771f0,eca2,0,1,edce,c4e8,Series 2,5038258,d4cd,9dc9f7,c4e8,500000,N,0,0,efc5,0,3d,widowed,Graduate,INDIA,a9,a9,9c,SELF-EMPLOYED,,Graduate,N,HINDI,480000,N,Self-Employed,Yearly
5,No,8/1/21,12bc704b88,d157491632,5c9375,2483,20000,221579,10,119377ea1b,N,e62e,f114ce,4db9fa,ef535548f5,eca2,0,1,edce,c4e8,Plan T - Series 2,9701815,d4cd,9c3288,c4e8,200000,N,0,0,e548,0,1b,Married,Uneducated,INDIA,a9,,9c,,,Illiterate,N,HINDI,250005,N,Housewife,Yearly
6,No,6/1/21,d4d74b19a0,f87f972c04,3.85E+07,2483,38972.58,809889,10,374a90b48e,N,e62e,acb844,125d83,5126c01862,c586,0,1,5fd3,2ed4,Series 2,9596206,d4cd,315d9d,5743,660000,N,0,0,81db,1,fc,Married,Graduate,INDIA,a9,a9,aa,RURAL HELTH ORGANIZATION,,Graduate,N,HINDI,600000,Y,Service,Yearly
7,No,11/1/21,ac15386746,672b881078,da9107,58,100000,774558,10,64767ee146,N,e62e,b78361,de3c37,1c1f112fe8,f7b0,0,1,edce,c4e8,Series 2,5166387,738a,82a624,c4e8,125000,Y,0,0,,1,42,Single,Graduate,INDIA,a9,a9,aa,PANDIT JI,,Graduate,N,HINDI,960000,N,Service,Single
8,No,18/1/21,819e090df7,3224d5a12b,8567de,58,100000,802447,12,7f79b3fdbd,N,331f,acb844,7e495a,306d0b1fb2,c586,0,1,edce,c4e8,Series 2,94488947,d4cd,de0e06,c4e8,1000000,Y,0,0,efc5,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,T.I,2,Post Graduate,N,HINDI,720000,Y,Service,Yearly
9,No,11/1/21,d44813e977,15bc8a6b78,86c8be,58,300000,175599,15,cb5bc530cd,N,e62e,b629fd,c793d6,a7224c851c,b629,0,1,edce,c4e8,Series 2,5321606,d4cd,2864ab,c4e8,0,Y,0,0,2734,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,PROPRIETOR,,Post Graduate,N,TELGU,2400000,N,Business,Yearly
10,No,6/1/21,b89c884a87,e0271cd0b1,324b21,58,300000,122815,10,efc07af5f4,N,e62e,b629fd,47e525,954b97bf16,b629,0,1,edce,c4e8,Plan Gold Cover - Series 3,5322157,d4cd,d37e51,c4e8,3000000,Y,0,0,2a44,0,12,Single,PG / Professional,INDIA,a9,a9,aa,PROPRIETOR,,Post Graduate,N,TELGU,800000,N,Business,Yearly
